GF(19^2),0,1,x,18x + 17,18x + 2,3x + 2,18x + 13,14x + 2,7x + 10,3x + 5,2x + 13,11x + 15,4x + 16,12x + 11,18x + 14,15x + 2,6x + 8,2x + 7,5x + 15,10x + 9,18x + 18,2,2x,17x + 15,17x + 4,6x + 4,17x + 7,9x + 4,14x + 1,6x + 10,4x + 7,3x + 11,8x + 13,5x + 3,17x + 9,11x + 4,12x + 16,4x + 14,10x + 11,x + 18,17x + 17,4,4x,15x + 11,15x + 8,12x + 8,15x + 14,18x + 8,9x + 2,12x + 1,8x + 14,6x + 3,16x + 7,10x + 6,15x + 18,3x + 8,5x + 13,8x + 9,x + 3,2x + 17,15x + 15,8,8x,11x + 3,11x + 16,5x + 16,11x + 9,17x + 16,18x + 4,5x + 2,16x + 9,12x + 6,13x + 14,x + 12,11x + 17,6x + 16,10x + 7,16x + 18,2x + 6,4x + 15,11x + 11,16,16x,3x + 6,3x + 13,10x + 13,3x + 18,15x + 13,17x + 8,10x + 4,13x + 18,5x + 12,7x + 9,2x + 5,3x + 15,12x + 13,x + 14,13x + 17,4x + 12,8x + 11,3x + 3,13,13x,6x + 12,6x + 7,x + 7,6x + 17,11x + 7,15x + 16,x + 8,7x + 17,10x + 5,14x + 18,4x + 10,6x + 11,5x + 7,2x + 9,7x + 15,8x + 5,16x + 3,6x + 6,7,7x,12x + 5,12x + 14,2x + 14,12x + 15,3x + 14,11x + 13,2x + 16,14x + 15,x + 10,9x + 17,8x + 1,12x + 3,10x + 14,4x + 18,14x + 11,16x + 10,13x + 6,12x + 12,14,14x,5x + 10,5x + 9,4x + 9,5x + 11,6x + 9,3x + 7,4x + 13,9x + 11,2x + 1,18x + 15,16x + 2,5x + 6,x + 9,8x + 17,9x + 3,13x + 1,7x + 12,5x + 5,9,9x,10x + 1,10x + 18,8x + 18,10x + 3,12x + 18,6x + 14,8x + 7,18x + 3,4x + 2,17x + 11,13x + 4,10x + 12,2x + 18,16x + 15,18x + 6,7x + 2,14x + 5,10x + 10,18,18x,x + 2,x + 17,16x + 17,x + 6,5x + 17,12x + 9,16x + 14,17x + 6,8x + 4,15x + 3,7x + 8,x + 5,4x + 17,13x + 11,17x + 12,14x + 4,9x + 10,x + 1,17,17x,2x + 4,2x + 15,13x + 15,2x + 12,10x + 15,5x + 18,13x + 9,15x + 12,16x + 8,11x + 6,14x + 16,2x + 10,8x + 15,7x + 3,15x + 5,9x + 8,18x + 1,2x + 2,15,15x,4x + 8,4x + 11,7x + 11,4x + 5,x + 11,10x + 17,7x + 18,11x + 5,13x + 16,3x + 12,9x + 13,4x + 1,16x + 11,14x + 6,11x + 10,18x + 16,17x + 2,4x + 4,11,11x,8x + 16,8x + 3,14x + 3,8x + 10,2x + 3,x + 15,14x + 17,3x + 10,7x + 13,6x + 5,18x + 7,8x + 2,13x + 3,9x + 12,3x + 1,17x + 13,15x + 4,8x + 8,3,3x,16x + 13,16x + 6,9x + 6,16x + 1,4x + 6,2x + 11,9x + 15,6x + 1,14x + 7,12x + 10,17x + 14,16x + 4,7x + 6,18x + 5,6x + 2,15x + 7,11x + 8,16x + 16,6,6x,13x + 7,13x + 12,18x + 12,13x + 2,8x + 12,4x + 3,18x + 11,12x + 2,9x + 14,5x + 1,15x + 9,13x + 8,14x + 12,17x + 10,12x + 4,11x + 14,3x + 16,13x + 13,12,12x,7x + 14,7x + 5,17x + 5,7x + 4,16x + 5,8x + 6,17x + 3,5x + 4,18x + 9,10x + 2,11x + 18,7x + 16,9x + 5,15x + 1,5x + 8,3x + 9,6x + 13,7x + 7,5,5x,14x + 9,14x + 10,15x + 10,14x + 8,13x + 10,16x + 12,15x + 6,10x + 8,17x + 18,x + 4,3x + 17,14x + 13,18x + 10,11x + 2,10x + 16,6x + 18,12x + 7,14x + 14,10,10x,9x + 18,9x + 1,11x + 1,9x + 16,7x + 1,13x + 5,11x + 12,x + 16,15x + 17,2x + 8,6x + 15,9x + 7,17x + 1,3x + 4,x + 13,12x + 17,5x + 14,9x + 9,0 soln's,1 soln,2 soln's,3 soln's,Total soln's
16x + 15,2,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,120,180,1,60,362
18x + 6,2,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,120,180,3,58,360
7x + 2,2,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,120,180,1,60,362
14x + 5,2,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,120,180,3,58,360
10x + 10,2,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,120,180,1,60,362
18,2,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,120,180,3,58,360
18x,2,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,120,180,1,60,362
x + 2,2,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,120,180,3,58,360
x + 17,2,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,120,180,1,60,362
16x + 17,2,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,120,180,3,58,360
x + 6,2,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,120,180,1,60,362
5x + 17,2,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,120,180,3,58,360
12x + 9,2,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,120,180,1,60,362
16x + 14,2,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,120,180,3,58,360
17x + 6,2,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,0,1,3,0,1,0,3,1,3,0,0,1,1,1,3,3,0,1,1,1,0,1,1,3,1,1,3,1,1,3,3,0,0,1,3,1,0,1,1,1,3,1,3,3,1,0,1,0,0,1,1,3,1,1,0,1,0,3,0,0,1,0,1,0,3,0,0,1,1,0,1,3,0,3,1,0,3,0,1,1,1,0,1,1,0,1,1,1,3,3,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,3,3,0,1,0,3,1,0,3,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,3,1,1,1,1,3,1,0,3,1,3,0,1,1,0,1,0,1,1,0,1,0,3,0,1,0,1,0,1,1,1,1,0,120,180,1,60,362
8x + 4,2,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,1,1,0,1,0,3,1,1,1,1,1,0,0,1,1,3,1,1,0,3,1,1,1,1,1,0,0,1,0,1,1,1,1,3,1,3,1,1,3,1,0,1,1,1,0,3,0,0,1,3,0,0,1,1,1,0,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,0,3,1,0,0,0,3,1,0,0,0,1,3,3,3,0,3,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,1,3,0,0,3,0,1,3,0,0,1,3,3,0,0,1,0,0,1,1,0,3,1,1,0,1,0,0,0,0,3,3,3,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,3,0,0,1,1,1,3,1,3,1,1,0,1,3,1,1,120,180,3,58,360
